UsageID,Date,Year,Quarter,Month,MonthName,EmployeeID,EmployeeName,DepartmentID,DepartmentName,Position,HireDate,HourlyRate,ToolID,ToolName,Vendor,MonthlyLicenseCost,TasksBeforeAI,TasksAfterAI,HoursBeforeAI,HoursAfterAI,ProcessesAutomated,MonthlyToolCost,TasksIncrease,HoursSaved,ProductivityLiftPct,EstimatedValue,EstimatedROI
1,2025-08-01,2025,3,8,August,5,Eve Adams,4,HR,Financial Analyst,2022-07-10,60,2,Microsoft Copilot,Microsoft,150,54,105,187.39,76.62,9,150,51,110.77,0.9444444444444444,6646.199999999999,43.30799999999999
2,2025-10-05,2025,4,10,October,1,Alice Johnson,1,Sales,Sales Manager,2020-03-15,50,2,Microsoft Copilot,Microsoft,150,62,142,105.09,87.61,6,150,80,17.48,1.290322580645161,874.0000000000002,4.826666666666668
3,2025-08-18,2025,3,8,August,1,Alice Johnson,1,Sales,Sales Manager,2020-03-15,50,2,Microsoft Copilot,Microsoft,150,77,114,104.9,108.73,8,150,37,-3.829999999999998,0.4805194805194805,-191.4999999999999,-2.276666666666666
4,2025-08-04,2025,3,8,August,3,Charlie Brown,4,HR,IT Support,2021-01-20,40,2,Microsoft Copilot,Microsoft,150,70,112,143.01,112.15,7,150,42,30.85999999999999,0.6,1234.399999999999,7.229333333333329
5,2025-09-19,2025,3,9,September,3,Charlie Brown,2,Marketing,IT Support,2021-01-20,40,4,Claude,Anthropic,130,69,120,140.83,145.06,10,130,51,-4.22999999999999,0.7391304347826086,-169.1999999999996,-2.301538461538458
6,2025-07-17,2025,3,7,July,3,Charlie Brown,2,Marketing,IT Support,2021-01-20,40,3,Gemini,Google,120,56,123,127.04,132.86,2,120,67,-5.820000000000007,1.196428571428571,-232.8000000000003,-2.940000000000003
7,2025-06-08,2025,2,6,June,5,Eve Adams,1,Sales,Financial Analyst,2022-07-10,60,2,Microsoft Copilot,Microsoft,150,94,104,121.63,104.04,9,150,10,17.58999999999999,0.1063829787234043,1055.399999999999,6.035999999999996
8,2025-09-14,2025,3,9,September,2,Bob Smith,3,IT,Marketing Specialist,2019-06-01,45,4,Claude,Anthropic,130,90,106,134.85,143.2,7,130,16,-8.349999999999994,0.1777777777777778,-375.7499999999998,-3.890384615384614
9,2025-06-17,2025,2,6,June,1,Alice Johnson,3,IT,Sales Manager,2020-03-15,50,2,Microsoft Copilot,Microsoft,150,96,110,149.29,71.95,5,150,14,77.33999999999999,0.1458333333333333,3867.0,24.78
10,2025-12-30,2025,4,12,December,2,Bob Smith,5,Finance,Marketing Specialist,2019-06-01,45,2,Microsoft Copilot,Microsoft,150,96,149,178.28,63.1,2,150,53,115.18,0.5520833333333334,5183.1,33.554
